Fecha,Máximo,Mínimo,Cierre
2016-01-01,2.278,2.241,2.246
2016-01-02,2.278,2.241,2.246
2016-01-03,2.278,2.241,2.246
2016-01-04,2.287,2.156,2.206
2016-01-05,2.267,2.176,2.256
2016-01-06,2.282,2.168,2.208
2016-01-07,2.35,2.197,2.318
2016-01-08,2.42,2.304,2.402
2016-01-09,2.416,2.3365,2.406
2016-01-10,2.412,2.369,2.41
2016-01-11,2.412,2.264,2.274
2016-01-12,2.304,2.188,2.229
2016-01-13,2.27,2.205,2.222
2016-01-14,2.244,2.084,2.102
2016-01-15,2.109,2.046,2.054
2016-01-16,2.0665,2.0294999999999996,2.037
2016-01-17,2.024,2.013,2.02
2016-01-18,2.103,2.013,2.083
2016-01-19,2.14,2.048,2.056
2016-01-20,2.137,2.043,2.13
2016-01-21,2.167,2.06,2.131
2016-01-22,2.15,2.096,2.12
2016-01-23,2.149,2.1100000000000003,2.1285
2016-01-24,2.148,2.124,2.137
2016-01-25,2.15,2.064,2.122
2016-01-26,2.194,2.097,2.131
2016-01-27,2.192,2.113,2.126
2016-01-28,2.22,2.076,2.219
2016-01-29,2.296,2.212,2.29
2016-01-30,2.254,2.194,2.2439999999999998
2016-01-31,2.212,2.176,2.198
2016-02-01,2.21,2.112,2.116
2016-02-02,2.122,1.963,2.015
2016-02-03,2.051,1.98,2.02
2016-02-04,2.026,1.942,1.974
2016-02-05,2.062,1.974,2.052
2016-02-06,2.09,2.0345,2.0735
2016-02-07,2.118,2.095,2.095
2016-02-08,2.161,2.095,2.112
2016-02-09,2.123,2.056,2.078
2016-02-10,2.1,2.008,2.044
2016-02-11,2.084,1.972,1.984
2016-02-12,2.016,1.944,1.96
2016-02-13,1.9745,1.932,1.946
2016-02-14,1.933,1.92,1.932
2016-02-15,1.956,1.907,1.912
2016-02-16,1.934,1.875,1.91
2016-02-17,1.955,1.888,1.934
2016-02-18,1.948,1.853,1.866
2016-02-19,1.868,1.794,1.802
2016-02-20,1.83,1.786,1.7915
2016-02-21,1.792,1.778,1.781
2016-02-22,1.828,1.766,1.803
2016-02-23,1.823,1.761,1.768
2016-02-24,1.804,1.746,1.77
2016-02-25,1.772,1.694,1.734
2016-02-26,1.75,1.68,1.73
2016-02-27,1.7135,1.669,1.7025000000000001
2016-02-28,1.677,1.658,1.675
2016-02-29,1.689,1.644,1.656
2016-03-01,1.729,1.641,1.696
2016-03-02,1.699,1.615,1.627
2016-03-03,1.653,1.577,1.582
2016-03-04,1.635,1.574,1.632
2016-03-05,1.6135000000000002,1.577,1.6099999999999999
2016-03-06,1.592,1.58,1.588
2016-03-07,1.702,1.579,1.678
2016-03-08,1.705,1.645,1.692
2016-03-09,1.75,1.682,1.739
2016-03-10,1.779,1.702,1.77
2016-03-11,1.827,1.762,1.772
2016-03-12,1.822,1.7665,1.7734999999999999
2016-03-13,1.817,1.771,1.775
2016-03-14,1.83,1.745,1.803
2016-03-15,1.872,1.784,1.824
2016-03-16,1.854,1.798,1.852
2016-03-17,1.933,1.809,1.919
2016-03-18,1.926,1.863,1.874
2016-03-19,1.9089999999999998,1.8685,1.874
2016-03-20,1.892,1.874,1.874
2016-03-21,1.891,1.787,1.793
2016-03-22,1.858,1.792,1.852
2016-03-23,1.885,1.771,1.774
2016-03-24,1.82,1.77,1.804
2016-03-25,1.813,1.7746666666666666,1.801
2016-03-26,1.806,1.7793333333333334,1.798
2016-03-27,1.799,1.784,1.795
2016-03-28,1.868,1.768,1.864
2016-03-29,1.918,1.845,1.908
2016-03-30,1.942,1.894,1.916
2016-03-31,1.958,1.865,1.902
2016-04-01,1.925,1.862,1.888
2016-04-02,1.927,1.891,1.9075
2016-04-03,1.929,1.92,1.927
2016-04-04,2.014,1.918,1.948
2016-04-05,1.983,1.878,1.884
2016-04-06,1.888,1.846,1.85
2016-04-07,1.973,1.846,1.964
2016-04-08,1.993,1.938,1.944
2016-04-09,1.9505,1.914,1.9255
2016-04-10,1.908,1.89,1.907
2016-04-11,1.908,1.869,1.893
2016-04-12,1.991,1.885,1.972
2016-04-13,2.013,1.967,2.004
2016-04-14,2.007,1.926,1.928
2016-04-15,1.931,1.856,1.878
2016-04-16,1.896,1.8525,1.8679999999999999
2016-04-17,1.861,1.849,1.858
2016-04-18,1.927,1.856,1.912
2016-04-19,2.073,1.904,2.062
2016-04-20,2.117,2.036,2.072
2016-04-21,2.104,2.048,2.087
2016-04-22,2.16,2.064,2.14
2016-04-23,2.169,2.1109999999999998,2.156
2016-04-24,2.178,2.158,2.172
2016-04-25,2.192,2.058,2.097
2016-04-26,2.098,2.032,2.07
2016-04-27,2.098,2.014,2.056
2016-04-28,2.056,1.964,1.974
2016-04-29,2.101,1.956,2.052
2016-04-30,2.0795,1.9935,2.0545
2016-05-01,2.058,2.031,2.057
2016-05-02,2.058,1.95,1.974
2016-05-03,2.026,1.964,2.01
2016-05-04,2.082,1.988,2.068
